,Event.Id,Investigation.Type,Event.Date,Injury.Severity,Aircraft.damage,Aircraft.Category,Make,Model,Amateur.Built,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured
84817,20190902X20500,Accident,2019-09-01,Non-Fatal,Substantial,Helicopter,HUGHES,369,No,0.0,0.0,0.0,2.0
84854,20190909X84531,Accident,2019-09-06,Non-Fatal,Substantial,Helicopter,ROBINSON,R44,No,0.0,0.0,0.0,1.0
84868,20190909X51212,Accident,2019-09-09,Non-Fatal,Substantial,Helicopter,BELL,206,No,0.0,0.0,0.0,1.0
84879,20190911X73205,Accident,2019-09-11,Non-Fatal,Substantial,Helicopter,SIKORSKY,S58,No,0.0,0.0,0.0,1.0
84891,20190912X71702,Accident,2019-09-12,Non-Fatal,Substantial,Helicopter,BELL,206,No,0.0,0.0,0.0,2.0
84918,20190917X85414,Accident,2019-09-17,Non-Fatal,Substantial,Helicopter,ROBINSON,R44,No,0.0,0.0,1.0,0.0
84945,20190925X82721,Accident,2019-09-23,Non-Fatal,Substantial,Helicopter,GEORGE W. FELIX,MOSQUITO,Yes,0.0,0.0,0.0,1.0
84954,20191125X73929,Accident,2019-09-24,Fatal,No Damage,Helicopter,BELL,206,No,1.0,0.0,0.0,0.0
84969,20190928X04048,Accident,2019-09-28,Non-Fatal,Substantial,Helicopter,ENSTROM,F28,No,0.0,2.0,1.0,0.0
84970,20190928X24100,Accident,2019-09-28,Non-Fatal,Substantial,Helicopter,ROBINSON,R44,No,0.0,0.0,1.0,0.0
84980,20191007X23255,Accident,2019-10-02,Non-Fatal,Substantial,Helicopter,ROBINSON,R44,No,0.0,0.0,0.0,2.0
84983,20191004X94049,Accident,2019-10-03,Non-Fatal,Substantial,Helicopter,BELL,OH 58A,No,0.0,0.0,0.0,1.0
85020,20191022X82728,Accident,2019-10-11,Non-Fatal,Substantial,Helicopter,BELL,412,No,0.0,0.0,0.0,5.0
85032,20191015X44008,Accident,2019-10-14,Non-Fatal,Substantial,Helicopter,HILLER,UH 12E,No,0.0,1.0,0.0,0.0
85036,20191125X75557,Incident,2019-10-14,Non-Fatal,No Damage,Helicopter,SIKORSKY,S92,No,0.0,0.0,0.0,14.0
85050,20191018X35916,Accident,2019-10-17,Non-Fatal,Substantial,Helicopter,ROBINSON,R22,No,0.0,0.0,0.0,2.0
85051,20191018X65951,Accident,2019-10-17,Fatal,Substantial,Helicopter,BELL,206,No,1.0,0.0,0.0,0.0
85057,20191018X20936,Accident,2019-10-18,Non-Fatal,Substantial,Helicopter,BELL,47G,No,0.0,1.0,0.0,0.0
85076,20191028X41854,Accident,2019-10-21,Fatal,Destroyed,Helicopter,ROBINSON,R44,No,1.0,0.0,0.0,0.0
85082,20191023X23030,Accident,2019-10-23,Fatal,Destroyed,Helicopter,ROBINSON,R22 Beta,No,2.0,0.0,1.0,1.0
85083,20191023X31824,Accident,2019-10-23,Fatal,Substantial,Helicopter,ROBINSON,R44,No,2.0,0.0,0.0,0.0
85094,20191026X22107,Accident,2019-10-25,Fatal,Substantial,Helicopter,ENSTROM,280F,No,1.0,0.0,1.0,0.0
85096,20191118X14801,Incident,2019-10-25,Not Mentioned,No Damage,Helicopter,SIKORSKY,S92,No,0.0,0.0,0.0,0.0
85099,20200505X00453,Accident,2019-10-25,Non-Fatal,Substantial,Helicopter,ROBINSON,R44,No,0.0,0.0,0.0,3.0
85111,20191030X10836,Accident,2019-10-29,Non-Fatal,Substantial,Helicopter,ROBINSON,R66,No,0.0,0.0,0.0,3.0
85130,20191104X60648,Accident,2019-11-02,Non-Fatal,Substantial,Helicopter,MOSQUITO,XE,Yes,0.0,0.0,1.0,0.0
85135,20191104X20318,Accident,2019-11-04,Non-Fatal,Substantial,Helicopter,ROBINSON,R22,No,0.0,0.0,0.0,2.0
85144,20191107X13434,Accident,2019-11-07,Non-Fatal,Substantial,Helicopter,BELL,47G,No,0.0,0.0,0.0,1.0
85157,20191111X91036,Accident,2019-11-10,Non-Fatal,Substantial,Helicopter,SIKORSKY,S 58JT,No,0.0,3.0,0.0,0.0
85159,20191112X55053,Accident,2019-11-11,Fatal,Destroyed,Helicopter,ROBINSON,R44,No,1.0,0.0,0.0,0.0
85172,20191113X91346,Accident,2019-11-13,Non-Fatal,Substantial,Helicopter,AGUSTA,A109,No,0.0,0.0,0.0,3.0
85181,20191122X42900,Incident,2019-11-16,Non-Fatal,Minor,Helicopter,AGUSTA,A109,No,0.0,0.0,0.0,4.0
85221,20191206X00913,Accident,2019-11-30,Fatal,Destroyed,Helicopter,ROBINSON,R66,No,1.0,0.0,0.0,0.0
85232,20191205X95005,Incident,2019-12-05,Non-Fatal,Minor,Helicopter,AIRBUS,AS 350 B2,No,0.0,0.0,0.0,3.0
85235,20191209X11256,Accident,2019-12-05,Fatal,Substantial,Helicopter,ROBINSON,R44,No,1.0,0.0,0.0,0.0
85241,20191209X55719,Accident,2019-12-07,Fatal,Destroyed,Helicopter,BELL,407,No,2.0,0.0,0.0,0.0
85242,20200127X25128,Accident,2019-12-07,Non-Fatal,Substantial,Helicopter,OAS,UH-1H,No,0.0,1.0,0.0,0.0
85252,20191211X05922,Accident,2019-12-11,Non-Fatal,Substantial,Helicopter,ENSTROM,F28,No,0.0,1.0,0.0,0.0
85256,20211117104256,Accident,2019-12-12,Non-Fatal,No Damage,Helicopter,AEROSPATIALE,AS350,No,0.0,0.0,0.0,1.0
85259,20191216X01351,Accident,2019-12-14,Non-Fatal,Substantial,Helicopter,ROBINSON,R44,No,0.0,3.0,0.0,0.0
85279,20191219X84114,Accident,2019-12-19,Non-Fatal,Substantial,Helicopter,ROBINSON,R22,No,0.0,0.0,0.0,1.0
85312,20191225X93635,Accident,2019-12-25,Fatal,Substantial,Helicopter,BELL,407,No,1.0,0.0,0.0,2.0
85315,20191227X75520,Accident,2019-12-27,Fatal,Substantial,Helicopter,AIRBUS,AS350B2,No,7.0,0.0,0.0,0.0
85323,20200116X90815,Accident,2019-12-29,Non-Fatal,Substantial,Helicopter,ROBINSON,R44,No,0.0,0.0,0.0,4.0
85329,20191231X03945,Accident,2019-12-31,Non-Fatal,Substantial,Helicopter,ENSTROM,F28,No,0.0,0.0,0.0,2.0
85345,20200107X14009,Accident,2020-01-04,Non-Fatal,Substantial,Helicopter,SUD AVIATION,SE 3130 ALOUETTE II,No,0.0,0.0,0.0,1.0
85360,20200108X75639,Accident,2020-01-08,Non-Fatal,Substantial,Helicopter,HUGHES,OH 6A,No,0.0,1.0,0.0,0.0
85364,20200124X61658,Accident,2020-01-09,Non-Fatal,Substantial,Helicopter,GARLICK,UH1H,No,0.0,1.0,0.0,0.0
85366,20200109X20857,Accident,2020-01-10,Fatal,Destroyed,Helicopter,ROBINSON,R66,No,2.0,0.0,0.0,0.0
85376,20200121X33812,Accident,2020-01-13,Non-Fatal,Substantial,Helicopter,BELL,407,No,0.0,0.0,0.0,1.0
85397,20200123X80253,Accident,2020-01-21,Non-Fatal,Substantial,Helicopter,GUIMBAL,Cabri G2,No,0.0,0.0,1.0,0.0
85402,20200128X02229,Accident,2020-01-22,Non-Fatal,Substantial,Helicopter,BELL,407,No,0.0,0.0,0.0,1.0
85408,20200212X90852,Accident,2020-01-23,Non-Fatal,Substantial,Helicopter,BELL,206,No,0.0,0.0,1.0,0.0
85413,20200127X82825,Accident,2020-01-24,Non-Fatal,Substantial,Helicopter,ROBINSON,R22,No,0.0,0.0,1.0,0.0
85423,20200226X65345,Accident,2020-01-25,Fatal,Substantial,Helicopter,ROBINSON,R44,No,1.0,0.0,0.0,0.0
85424,20200126X41436,Accident,2020-01-26,Fatal,Destroyed,Helicopter,SIKORSKY,S76,No,9.0,0.0,0.0,0.0
85439,20200202X81855,Accident,2020-02-01,Non-Fatal,Substantial,Helicopter,HILLER,UH 12E,No,0.0,0.0,0.0,3.0
85440,20200224X92334,Accident,2020-02-01,Not Mentioned,No Damage,Helicopter,AGUSTAWESTLAND,AW139,No,0.0,0.0,0.0,0.0
85452,20200306X90023,Incident,2020-02-05,Not Mentioned,No Damage,Helicopter,AEROSPATIALE,AS350,No,0.0,0.0,0.0,0.0
85460,20200216X63101,Incident,2020-02-06,Non-Fatal,Minor,Helicopter,AEROSPATIALE,AS350BA,No,0.0,0.0,0.0,3.0
85464,20200210X30945,Accident,2020-02-07,Fatal,Substantial,Helicopter,BELL,407,No,1.0,0.0,2.0,0.0
85483,20200214X65852,Accident,2020-02-14,Non-Fatal,Substantial,Helicopter,ROBINSON,R44,No,0.0,0.0,0.0,1.0
85496,20200225X91245,Accident,2020-02-16,Not Mentioned,No Damage,Helicopter,AGUSTAWESTLAND,AW139,No,0.0,0.0,0.0,0.0
85498,20200217X93300,Accident,2020-02-17,Non-Fatal,Substantial,Helicopter,SCHWEIZER,269C,No,0.0,0.0,0.0,1.0
85502,20200218X02852,Accident,2020-02-18,Non-Fatal,Substantial,Helicopter,ROBINSON,R22,No,0.0,0.0,0.0,1.0
85503,20200220X92633,Accident,2020-02-18,Non-Fatal,Substantial,Helicopter,AEROSPATIALE,AS350,No,0.0,0.0,0.0,2.0
85506,20200219X80403,Accident,2020-02-19,Non-Fatal,Substantial,Helicopter,BELL,OH 58A,No,0.0,0.0,0.0,1.0
85516,20200221X01706,Accident,2020-02-21,Non-Fatal,Substantial,Helicopter,ROBINSON,R44,No,0.0,1.0,0.0,2.0
85525,20200224X02150,Accident,2020-02-23,Fatal,Substantial,Helicopter,INNOVATOR,Mosquitto,Yes,1.0,0.0,0.0,0.0
85548,20200311X15604,Accident,2020-02-28,Fatal,Substantial,Helicopter,ROBINSON,R44,No,1.0,0.0,0.0,0.0
85565,20200305X41622,Accident,2020-03-05,Non-Fatal,Substantial,Helicopter,BELL,206,No,0.0,0.0,0.0,4.0
85570,20200308X53043,Accident,2020-03-05,Non-Fatal,Substantial,Helicopter,EUROCOPTER,EC130,No,0.0,2.0,0.0,4.0
85613,20200322X70803,Accident,2020-03-21,Non-Fatal,Substantial,Helicopter,AUGUSTAWESTLAND,AW119MKII,No,0.0,0.0,0.0,2.0
85618,20200323X62300,Accident,2020-03-23,Fatal,No Damage,Helicopter,BELL,206,No,1.0,0.0,1.0,0.0
85620,20200325X04716,Accident,2020-03-24,Fatal,Destroyed,Helicopter,BELL,206,No,1.0,0.0,0.0,0.0
85621,20200701X51937,Accident,2020-03-24,Not Mentioned,Destroyed,Helicopter,ROTORCRAFT DEVELOPMENT CORPORA,UH1-D,No,0.0,0.0,0.0,0.0
85636,20200401X81511,Accident,2020-03-31,Fatal,Destroyed,Helicopter,ROBINSON,R44,No,2.0,0.0,0.0,0.0
